learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
BR  0.422281  0.552531  0.57301  0.410325  0.530859  0.102392  0.444027  0.0407121  0.304261  0.37432  
t = 15
CFR  0.16967  0.165232  -0.0742217  0.195113  0.182444  -0.0901813  0.168774  -0.0617311  0.0455807  0.102447  
CFR_EX+IN  0.175726  0.236587  -0.0392874  0.15422  0.201754  -0.0834293  0.180367  -0.069102  0.0682542  0.127619  
CFR_IN  0.18621  0.28651  0.00328278  0.177181  0.228091  -0.115468  0.145092  -0.139003  0.0549354  0.142494  
A-CFR_IN  0.179485  0.309481  -0.107106  0.162857  0.268874  -0.125638  0.289567  -0.140234  0.034498  0.154243  
BPS-CFR  0.183851  0.166068  -0.0729528  0.196345  0.179382  -0.0864253  0.160227  -0.0534469  -0.0066896  0.101789  
TIPS-CFR  0.399661  0.313942  -0.00341184  0.170684  0.240546  -0.1222  0.256658  -0.138598  0.0859398  0.146727  
CSPS-CFR  0.210928  0.253551  -0.0368366  0.196403  0.203357  -0.0825141  0.191743  -0.0668491  0.00906037  0.0839013  
CFPS-CFR  0.394885  0.317659  -0.00601081  0.159148  0.241633  -0.124175  0.253779  -0.138643  0.0586728  0.124015  
CFPS-CFR_EX+IN  0.210668  0.257322  -0.0390341  0.156356  0.214902  -0.0826141  0.178571  -0.0676143  0.0424151  0.12175  
TIPS-CFR_EX+IN  0.2147  0.265688  -0.0383177  0.163344  0.215153  -0.0820429  0.201674  -0.0658127  0.0433998  0.104833  
BR  0.435492  0.530619  0.351997  0.412631  0.4529  0.0736169  0.48538  0.117677  0.232965  0.367016  
t = 16
CFR  0.19206  0.164356  0.185872  0.184276  0.093226  -0.0560379  0.12662  0.000182947  0.0570166  0.238471  
CFR_EX+IN  0.211108  0.201301  0.194987  0.181259  0.108165  -0.0769066  0.153111  -0.0301637  0.0807359  0.25246  
CFR_IN  0.191664  0.268618  0.138432  0.166765  0.0556295  -0.133521  0.260439  -0.132813  0.0349315  0.235582  
A-CFR_IN  0.260777  0.264106  0.0813739  0.159235  0.281132  -0.135782  0.280779  -0.0969514  0.046218  0.253641  
BPS-CFR  0.188483  0.153143  0.186328  0.194433  0.130064  -0.0490894  0.12034  0.00106832  0.0534802  0.255643  
TIPS-CFR  0.44547  0.265902  0.152093  0.16672  0.134861  -0.132614  0.269932  -0.132533  0.0532642  0.172216  
CSPS-CFR  0.2461  0.204922  0.200444  0.200552  0.0989219  -0.0681008  0.194377  -0.0259712  0.0277896  0.174982  
CFPS-CFR  0.435903  0.273214  0.151114  0.166748  0.139385  -0.133042  0.271523  -0.132585  0.0510719  0.177525  
CFPS-CFR_EX+IN  0.232822  0.186573  0.19177  0.17851  0.118074  -0.0763392  0.18638  -0.0291831  0.0660009  0.203682  
TIPS-CFR_EX+IN  0.254172  0.191487  0.191893  0.182747  0.111944  -0.0723192  0.1943  -0.0278303  0.0636969  0.184031  
BR  0.462777  0.507796  0.452347  0.439764  0.472653  0.148113  0.495974  0.134181  0.206407  0.394465  
t = 17
CFR  0.219414  0.169517  0.245014  0.209178  0.0930715  0.00591091  0.1598  0.085596  0.0630523  0.228944  
CFR_EX+IN  0.267121  0.175862  0.248093  0.202821  0.0959232  -0.034195  0.211471  0.0607934  0.0752157  0.217951  
CFR_IN  0.182595  0.237607  0.190445  0.171175  0.133875  -0.124842  0.17773  0.0152024  0.0604614  0.201778  
A-CFR_IN  0.30911  0.20216  0.203592  0.166839  0.228412  -0.0419174  0.196976  0.0101454  0.0607249  0.227802  
BPS-CFR  0.221199  0.172848  0.243347  0.214128  0.100849  0.0142168  0.166844  0.0842469  0.0685362  0.228919  
TIPS-CFR  0.430924  0.222511  0.196174  0.196137  0.131556  -0.123391  0.173398  0.00435223  0.0610087  0.14064  
CSPS-CFR  0.288832  0.186087  0.261919  0.221904  0.0832883  -0.022214  0.192941  0.062571  0.0458022  0.18717  
CFPS-CFR  0.419759  0.223974  0.198919  0.171791  0.133704  -0.12405  0.177966  0.0089689  0.070721  0.138233  
CFPS-CFR_EX+IN  0.290978  0.186384  0.239583  0.200313  0.100368  -0.0308953  0.207368  0.0597652  0.0700008  0.21419  
TIPS-CFR_EX+IN  0.304405  0.168432  0.240622  0.20487  0.0827747  -0.0272574  0.198898  0.061314  0.0600806  0.188929  
BR  0.484359  0.434384  0.507671  0.463097  0.326101  0.176477  0.425701  0.174751  0.179912  0.368475  
t = 18
CFR  0.21995  0.162441  0.19588  0.252261  0.0683547  0.0858146  0.184485  0.162191  0.0679429  0.175798  
CFR_EX+IN  0.286054  0.149035  0.173538  0.242051  0.07359  0.0438536  0.218291  0.149472  0.0689175  0.166107  
CFR_IN  0.241677  0.167624  0.167047  0.20463  0.215173  0.00863549  0.118753  0.114414  0.0420175  0.16865  
A-CFR_IN  0.341505  0.148439  0.158145  0.177466  0.154042  0.0451354  0.15761  0.0856083  0.0744481  0.166744  
BPS-CFR  0.222083  0.189625  0.189385  0.255615  0.0793744  0.0874936  0.192048  0.159495  0.0742015  0.181215  
TIPS-CFR  0.239574  0.144563  0.143162  0.229766  0.130762  -0.00193851  0.106525  0.0996398  0.0521515  0.171125  
CSPS-CFR  0.270741  0.15485  0.199237  0.259933  0.0662565  0.0547571  0.187065  0.149273  0.0581341  0.159928  
CFPS-CFR  0.231493  0.14899  0.146615  0.203961  0.139823  -0.000218436  0.112561  0.0955114  0.0502885  0.174569  
CFPS-CFR_EX+IN  0.261381  0.180366  0.165135  0.241521  0.083789  0.045442  0.221523  0.145029  0.0669842  0.165497  
TIPS-CFR_EX+IN  0.258378  0.158827  0.166438  0.244335  0.0715587  0.0487141  0.201435  0.146879  0.0572867  0.154582  
BR  0.484304  0.377194  0.329924  0.466133  0.315179  0.177249  0.427563  0.255824  0.157895  0.294265  
t = 19
CFR  0.195764  0.120468  0.158699  0.280612  0.0627029  0.1592  0.18307  0.183872  0.0803113  0.144209  
CFR_EX+IN  0.249479  0.120617  0.134829  0.276751  0.086996  0.120437  0.18531  0.17575  0.0690616  0.136239  
CFR_IN  0.251303  0.122674  0.137642  0.233486  0.197563  0.113044  0.187008  0.133161  0.0382074  0.135041  
