learner/env  CFR  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  PI  greed_punisher  FP  
BPS-CFR  0.00303611  -0.00836761  0.00304075  -0.00858648  3.88578e-16  3.79458e-05  3.79458e-05  0.184562  0.483613  -0.0186272  
TIPS-CFR  0.00303611  -0.00861299  0.00304075  -0.0088282  -8.90421e-05  4.23273e-16  4.85723e-16  0.184058  0.484553  -0.0186522  
IPS-CFR  0.00303611  -0.00861299  0.00304075  -0.0088282  -8.90421e-05  4.23273e-16  4.64906e-16  0.184058  0.484553  -0.0186522  
PI  0.337126  0.240041  0.337059  0.238329  0.280499  0.276522  0.276522  -6.73073e-16  -0.473437  0.5  
greed_punisher  0.115176  -0.17302  -0.129664  -0.120405  -0.309026  -0.300952  -0.300952  0.486719  -6.10623e-16  -0.129167  
FP  -0.121964  -0.00740669  -0.121959  -0.00714219  0.0926104  0.0965023  0.0965023  0.256771  0.305208  4.23273e-16  
BR  0.337126  0.298557  0.337059  0.296779  0.348004  0.350009  0.350009  0.486719  0.734635  0.525  
t = 15
CFR  4.996e-16  -0.0190513  1.02696e-15  -0.0191699  0.026233  0.0254702  0.0254702  0.636416  0.258786  -0.117256  
A-CFR  0.0240181  -4.02456e-16  0.0234493  6.10623e-16  -0.00200593  0.000735601  0.000735601  0.640663  0.265635  -0.0983976  
CFR_IN  4.996e-16  -0.0190513  9.71445e-16  -0.0191699  0.026233  0.0254702  0.0254702  0.636416  0.258786  -0.117256  
A-CFR_IN  0.0240181  4.16334e-17  0.0234493  4.02456e-16  -0.00200593  0.000735601  0.000735601  0.640663  0.265635  -0.0983976  
BPS-CFR  4.996e-16  0.003302  9.4369e-16  0.00332002  4.44089e-16  -8.97335e-05  -8.97335e-05  0.635837  0.259099  -0.0920265  
TIPS-CFR  4.996e-16  0.00336765  9.4369e-16  0.00336744  0.000233412  3.67761e-16  2.35922e-16  0.635891  0.258055  -0.0909045  
IPS-CFR  4.996e-16  0.00336765  9.4369e-16  0.00336744  0.000233412  3.67761e-16  2.35922e-16  0.635891  0.258055  -0.0909045  
PI  0.180252  0.287662  0.2561  0.285301  0.340729  0.338172  0.338172  -5.55112e-17  -0.627344  0.252083  
greed_punisher  0.216509  -0.435965  -0.081168  -0.381968  -0.05891  -0.054556  -0.054556  1.13203  -4.57967e-16  0.0208333  
FP  0.050973  0.0597725  0.0500616  0.0597367  0.147858  0.145735  0.145735  0.681771  0.378776  -1.04083e-16  
BR  0.438765  0.290694  0.437396  0.289464  0.41095  0.407901  0.407901  1.13203  0.510026  0.475  
t = 16
CFR  -1.38778e-16  -0.00327721  7.77156e-16  -0.00364878  0.00463692  0.0050321  0.0050321  0.168276  0.43535  -0.12827  
A-CFR  -0.0432026  -2.498e-16  -0.0423149  5.27356e-16  0.00643059  0.0105124  0.0105124  0.162899  0.431731  -0.180343  
CFR_IN  -1.80411e-16  -0.00327721  7.21645e-16  -0.00364878  0.00463692  0.0050321  0.0050321  0.168276  0.43535  -0.12827  
A-CFR_IN  -0.0432026  -2.77556e-16  -0.0423149  3.05311e-16  0.00643059  0.0105124  0.0105124  0.162899  0.431731  -0.180343  
BPS-CFR  -0.059285  -0.00201999  -0.0601913  -0.00136788  4.89192e-16  0.000514958  0.000514958  0.167852  0.434516  -0.134008  
TIPS-CFR  -0.0586894  -0.00193952  -0.0607316  -0.00133189  -0.000977049  9.02056e-17  2.8276e-16  0.175694  0.435441  -0.130731  
IPS-CFR  -0.0586894  -0.00193952  -0.0607316  -0.00133189  -0.000977049  1.73472e-16  2.8276e-16  0.175694  0.435441  -0.130731  
PI  0.235525  0.20401  0.379841  0.227328  0.183807  0.18106  0.18106  -6.10623e-16  -0.610937  0.333333  
greed_punisher  -0.189892  -0.364722  -0.361642  -0.29601  0.139787  0.145217  0.145217  0.520833  -6.17562e-16  -0.254167  
FP  0.0881193  0.0598151  0.087012  0.0591312  0.150753  0.117741  0.117741  0.272917  0.352083  -4.71845e-16  
BR  0.41366  0.238781  0.411705  0.238815  0.280974  0.278319  0.278319  0.520833  0.561458  0.358333  
t = 17
CFR  3.70363e-16  0.00481128  7.49401e-16  0.0048858  -0.00736303  -0.0074826  -0.0074826  0.579896  0.16285  -0.193145  
A-CFR  -0.0387726  -3.26128e-16  -0.0411568  5.13478e-16  -0.0116482  -0.00922538  -0.00922538  0.561929  0.16334  -0.200619  
CFR_IN  5.32994e-16  0.00481128  7.50702e-16  0.0048858  -0.00736303  -0.0074826  -0.0074826  0.579896  0.16285  -0.193145  
A-CFR_IN  -0.0387726  -3.46945e-17  -0.0411568  2.5327e-16  -0.0116482  -0.00922538  -0.00922538  0.561929  0.16334  -0.200619  
BPS-CFR  -0.0239426  -0.0117174  -0.0253572  -0.0115266  3.53884e-16  0.000506079  0.000506079  0.579622  0.161303  -0.193178  
