learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFPS-CFR  0.766661  0.739395  1.85436  0.787179  1.57838  1.52598  1.75803  2.07992  1.54245  1.19964  
CFPS-CFR_EX+IN  0.853949  0.767926  2.42546  0.787179  1.43708  1.58348  1.55773  2.36938  1.61604  1.18854  
TIPS-CFR_EX+IN  0.749905  0.80573  2.61113  0.787179  1.48967  1.58869  1.61655  2.33899  1.57544  1.27584  
BR  1.68947  1.5173  2.92934  0.810647  1.89607  2.07375  2.25317  2.76676  2.03488  2.10921  
t = 18
CFR  1.01955  0.79297  2.3328  0.780968  1.36041  1.63477  1.5509  2.41626  1.73874  0.985333  
CFR_EX+IN  0.975421  0.78005  2.33433  0.780968  1.32862  1.64816  1.53633  2.41645  1.74125  1.00828  
CFR_IN  0.875373  0.754074  1.95173  0.780968  1.35372  1.63445  1.65215  2.20205  1.64419  0.964325  
A-CFR_IN  0.46754  1.02472  1.54986  0.287318  1.30787  1.69588  1.3953  1.97051  1.32669  1.26515  
BPS-CFR  1.00461  0.749217  2.31669  0.780968  1.30155  1.62639  1.56143  2.41367  1.6858  0.994969  
TIPS-CFR  0.725624  0.722062  1.84056  0.64878  1.3825  1.59702  1.49963  1.91174  1.80181  0.971336  
CSPS-CFR  0.771017  0.762898  1.78659  0.780968  1.408  1.74625  1.53181  2.10263  1.50197  1.10971  
CFPS-CFR  0.752994  0.73218  1.94789  0.780968  1.35209  1.62523  1.62678  2.19331  1.64969  0.951608  
CFPS-CFR_EX+IN  0.950696  0.739091  2.31903  0.780968  1.29218  1.63734  1.57282  2.40758  1.68348  0.993976  
TIPS-CFR_EX+IN  0.787535  0.824874  2.3454  0.780968  1.33231  1.65113  1.5786  2.37281  1.68714  1.08925  
BR  1.73928  1.1319  2.68509  0.816081  1.62291  2.41403  2.0373  2.8053  2.11275  1.53057  
t = 19
CFR  1.12219  0.845067  2.18474  0.775399  1.29647  1.59559  1.59496  2.34614  1.61567  0.727605  
CFR_EX+IN  1.11999  0.828588  2.18614  0.775399  1.29083  1.59922  1.5959  2.34106  1.63243  0.734275  
CFR_IN  1.09173  0.759194  2.01164  0.7754  1.23241  1.53927  1.69613  2.22541  1.54083  0.706146  
A-CFR_IN  0.731685  1.08989  1.93764  0.285926  1.2787  1.46098  1.41771  1.96003  1.26215  1.19215  
BPS-CFR  1.09978  0.81366  2.16271  0.775399  1.25063  1.59592  1.60388  2.35717  1.64445  0.728003  
TIPS-CFR  0.776667  0.801031  2.0282  0.753783  1.24948  1.31224  1.59052  2.04204  1.8501  0.834202  
CSPS-CFR  0.985325  0.792771  2.22115  0.775399  1.29361  1.58149  1.52108  2.24644  1.68171  0.950605  
CFPS-CFR  1.02209  0.741379  1.99651  0.723979  1.22728  1.51627  1.67525  2.23761  1.50929  0.696264  
CFPS-CFR_EX+IN  1.09286  0.798398  2.16334  0.775399  1.25266  1.60442  1.59487  2.34173  1.6175  0.723293  
TIPS-CFR_EX+IN  0.994798  0.82851  2.19817  0.672559  1.25535  1.6181  1.54708  2.31235  1.53059  1.0085  
